Level,none,Vanish,Chewchew,Racheln,Arcana,Morass,Esfera,Moonbridge,Labyrinth,Limen,Cernium,Arcs,Odium,Dowonkyung,Arteria,Karsion
200,,33.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,,29.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,,26.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,,23.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,,21.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,,18.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,,16.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,,15.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,,13.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,,11.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,,9.202,26.918,0,0,0,0,0,0,0,0,0,0,0,0,0
211,,8.29,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0
212,,7.468,21.847,0,0,0,0,0,0,0,0,0,0,0,0,0
213,,6.728,19.682,0,0,0,0,0,0,0,0,0,0,0,0,0
214,,6.062,17.731,0,0,0,0,0,0,0,0,0,0,0,0,0
215,,4.663,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0
216,,4.278,12.513,0,0,0,0,0,0,0,0,0,0,0,0,0
217,,3.925,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0
218,,3.6,10.532,0,0,0,0,0,0,0,0,0,0,0,0,0
219,,3.303,9.663,0,0,0,0,0,0,0,0,0,0,0,0,0
220,,2.541,7.433,11.068,0,0,0,0,0,0,0,0,0,0,0,0
221,,2.375,6.947,10.344,0,0,0,0,0,0,0,0,0,0,0,0
222,,2.219,6.492,9.667,0,0,0,0,0,0,0,0,0,0,0,0
223,,2.074,6.067,9.035,0,0,0,0,0,0,0,0,0,0,0,0
224,,1.938,5.67,8.444,0,0,0,0,0,0,0,0,0,0,0,0
225,,1.491,4.362,6.495,6.732,0,0,0,0,0,0,0,0,0,0,0
226,,1.394,4.077,6.07,6.291,0,0,0,0,0,0,0,0,0,0,0
227,,1.302,3.81,5.673,5.88,0,0,0,0,0,0,0,0,0,0,0
228,,1.217,3.561,5.302,5.495,0,0,0,0,0,0,0,0,0,0,0
229,,1.138,3.328,4.955,5.136,0,0,0,0,0,0,0,0,0,0,0
230,,0.875,2.56,3.812,3.95,5.257,0,0,0,0,0,0,0,0,0,0
231,,0.85,2.485,3.701,3.835,5.104,0,0,0,0,0,0,0,0,0,0
232,,0.825,2.413,3.593,3.724,4.955,0,0,0,0,0,0,0,0,0,0
233,,0.801,2.343,3.488,3.615,4.811,0,0,0,0,0,0,0,0,0,0
234,,0.777,2.274,3.387,3.51,4.671,0,0,0,0,0,0,0,0,0,0
235,,0.598,1.749,2.605,2.7,3.593,3.701,0,0,0,0,0,0,0,0,0
236,,0.581,1.699,2.529,2.621,3.488,3.593,0,0,0,0,0,0,0,0,0
237,,0.564,1.649,2.456,2.545,3.387,3.489,0,0,0,0,0,0,0,0,0
238,,0.547,1.601,2.384,2.471,3.288,3.387,0,0,0,0,0,0,0,0,0
239,,0.531,1.554,2.315,2.399,3.192,3.288,0,0,0,0,0,0,0,0,0
240,,0.409,1.196,1.78,1.845,2.456,2.53,0,0,0,0,0,0,0,0,0
241,,0.397,1.161,1.729,1.792,2.384,2.456,0,0,0,0,0,0,0,0,0
242,,0.385,1.127,1.678,1.739,2.315,2.384,0,0,0,0,0,0,0,0,0
243,,0.374,1.094,1.629,1.689,2.247,2.315,0,0,0,0,0,0,0,0,0
244,,0.363,1.062,1.582,1.639,2.182,2.247,0,0,0,0,0,0,0,0,0
245,,0.279,0.817,1.217,1.261,1.678,1.729,3.204,0,0,0,0,0,0,0,0
246,,0.271,0.793,1.181,1.224,1.629,1.678,3.111,0,0,0,0,0,0,0,0
