Type,Name,Base,1,2,3,4,5,,
스태프,네크로 로드,135,17,24,33,44,56,,
ESP리미터,네크로 ESP리미터,133,16,24,33,43,55,,
매직건틀렛,네크로 매직 건틀렛,133,16,24,33,43,55,,
샤이닝로드,네크로 샤이닝로드,133,16,24,33,43,55,,
완드,네크로 완드,133,16,24,33,43,55,,
핸드캐논,네크로 이그니스,112,14,20,28,36,46,,
데스페라도,네크로 그림시커,110,14,20,27,36,46,,
두손검,네크로 투핸더,110,14,20,27,36,46,,
두손도끼,네크로 기간틱,112,14,20,28,36,46,,
두손둔기,네크로 모울,112,14,20,28,36,46,,
창,네크로 스피어,112,14,20,28,36,46,,
한손둔기,네크로 해머,108,13,20,27,35,45,,
한손검,네크로 피어,108,13,20,27,35,45,,
한손도끼,네크로 헤드,108,13,20,27,35,45,,
석궁,네크로 크로스보우,108,13,20,27,35,45,,
케인,네크로 제스터,108,13,20,27,35,45,,
부채,네크로 영선,105,13,19,26,34,44,,
듀얼보우건,네크로 듀얼보우건,105,13,19,26,34,44,,
활,네크로 롱보우,105,13,19,26,34,44,,
단검,네크로 슬레이어,103,13,19,25,33,43,,
에인션트보우,네크로 에인션트 보우,105,13,19,26,34,44,,
체인,네크로 체인,105,13,19,26,34,44,,
폴암,네크로 폴암,112,14,20,28,36,46,,
너클,네크로 울프,82,10,15,20,27,34,,
소울슈터,네크로 퍼플드래곤,82,10,15,20,27,34,,
에너지소드,네크로 샤프트헤드,82,10,15,20,27,34,,
건틀렛리볼버,네크로 기가스,82,10,15,20,27,34,,
건,네크로 이글,82,10,15,20,27,34,,
아대,네크로 블러디미스트,54,7,10,14,18,23,,
튜너,네크로 트러스트,110,14,20,27,36,46,,
브레스슈터,네크로 브레스 슈터,105,13,19,26,34,44,,
차크람,네크로 차크람,105,13,19,26,34,44,,
