Type,Name,Base,1,2,3,4,5,,
스태프,앱솔랩스 스펠링스태프,245,37,54,75,98,126,,
ESP리미터,앱솔랩스 ESP리미터,241,37,54,73,97,124,,
매직건틀렛,앱솔랩스 매직 건틀렛,241,37,54,73,97,124,,
샤이닝로드,앱솔랩스 샤이닝로드,241,37,54,73,97,124,,
완드,앱솔랩스 스펠링완드,241,37,54,73,97,124,,
핸드캐논,앱솔랩스 블래스트캐논,210,32,47,64,84,108,,
데스페라도,앱솔랩스 데스페라도,205,31,46,63,82,106,,
두손검,앱솔랩스 브로드세이버,205,31,46,63,82,106,,
두손도끼,앱솔랩스 브로드엑스,205,31,46,63,82,106,,
두손둔기,앱솔랩스 브로드해머,205,31,46,63,82,106,,
창,앱솔랩스 피어싱스피어,205,31,46,63,82,106,,
한손둔기,앱솔랩스 비트해머,197,30,44,60,79,101,,
한손검,앱솔랩스 세이버,197,30,44,60,79,101,,
한손도끼,앱솔랩스 엑스,197,30,44,60,79,101,,
석궁,앱솔랩스 크로스보우,197,30,44,60,79,101,,
케인,앱솔랩스 핀쳐케인,197,30,44,60,79,101,,
부채,앱솔랩스 괴선,192,29,43,59,77,99,,
듀얼보우건,앱솔랩스 듀얼보우건,192,29,43,59,77,99,,
활,앱솔랩스 슈팅보우,192,29,43,59,77,99,,
단검,앱솔랩스 슬래셔,192,29,43,59,77,99,,
에인션트보우,앱솔랩스 에인션트 보우,192,29,43,59,77,99,,
체인,앱솔랩스 체인,192,29,43,59,77,99,,
폴암,앱솔랩스 핼버드,184,28,41,56,74,95,,
너클,앱솔랩스 블로우너클,154,24,34,47,62,79,,
소울슈터,앱솔랩스 소울슈터,154,24,34,47,62,79,,
에너지소드,앱솔랩스 에너지소드,154,24,34,47,62,79,,
건틀렛리볼버,앱솔랩스 파일 갓,154,24,34,47,62,79,,
건,앱솔랩스 포인팅건,150,23,33,46,60,77,,
아대,앱솔랩스 리벤지가즈,103,16,23,32,42,53,,
튜너,앱솔랩스 튜너,205,31,46,63,82,106,,
브레스슈터,앱솔랩스 브레스 슈터,192,29,43,59,77,99,,
차크람,앱솔랩스 차크람,192,29,43,59,77,99,,
