Type,Name,Base,1,2,3,4,5,,,,
스태프,우트가르드 스태프,155,23,34,46,55,64,,,,
ESP리미터,우트가르드 ESP리미터,153,23,33,45,54,63,,,,
매직건틀렛,우트가르드 매직 건틀렛,153,23,33,45,54,63,,,,
샤이닝로드,우트가르드 샤이닝로드,153,23,33,45,54,63,,,,
완드,우트가르드 완드,153,23,33,45,54,63,,,,
핸드캐논,우트가르드 시즈건,122,18,27,36,43,51,,,,
데스페라도,우트가르드 데스페라도,122,18,27,36,43,51,,,,
두손검,우트가르드 투핸드소드,122,18,27,36,43,51,,,,
두손도끼,우트가르드 투핸드엑스,124,19,27,37,44,51,,,,
두손둔기,우트가르드 투핸드해머,124,19,27,37,44,51,,,,
창,우트가르드 스피어,124,19,27,37,44,51,,,,
한손둔기,우트가르드 해머,118,18,26,35,42,49,,,,
한손검,우트가르드 세이버,118,18,26,35,42,49,,,,
한손도끼,우트가르드 엑스,118,18,26,35,42,49,,,,
석궁,우트가르드 크로스보우,118,18,26,35,42,49,,,,
케인,우트가르드 케인,118,18,26,35,42,49,,,,
부채,우트가르드 거선,115,17,25,34,41,48,,,,
듀얼보우건,우트가르드 듀얼보우건,115,17,25,34,41,48,,,,
활,우트가르드 보우,115,17,25,34,41,48,,,,
단검,우트가르드 대거,115,17,25,34,41,48,,,,
에인션트보우,우트가르드 에인션트 보우,115,17,25,34,41,48,,,,
체인,우트가르드 체인,115,17,25,34,41,48,,,,
폴암,우트가르드 핼버드,122,18,26,36,43,51,,,,
너클,우트가르드 클로,90,14,20,27,32,37,,,,
소울슈터,우트가르드 드래곤소울,92,14,20,28,33,38,,,,
에너지소드,우트가르드 에너지체인,90,14,20,27,32,37,,,,
건틀렛리볼버,우트가르드 흐림두르스,90,14,20,27,32,37,,,,
건,우트가르드 피스톨,90,14,20,27,32,37,,,,
아대,우트가르드 가즈,62,10,14,19,22,26,,,,
튜너,우트가르드 리스트레인트,122,18,27,36,43,51,,,,
브레스슈터,우트가르드 브레스 슈터,115,17,25,34,41,48,,,,
차크람,우트가르트 세투스,115,17,25,34,41,48,,,,
