Type,Name,Base,1,2,3,4,5,,
스태프,자쿰의 포이즈닉 스태프,130,12,18,24,32,40,,
ESP리미터,자쿰의 ESP리미터,128,12,17,24,31,40,,
매직건틀렛,자쿰의 포이즈닉 매직 건틀렛,128,12,17,24,31,40,,
샤이닝로드,자쿰의 포이즈닉 샤이닝로드,128,12,17,24,31,40,,
완드,자쿰의 포이즈닉 완드,128,12,17,24,31,40,,
핸드캐논,자쿰의 포이즈닉 핸드캐논,109,10,15,20,27,34,,
데스페라도,자쿰의 포이즈닉 데스페라도,107,10,15,20,26,33,,
두손검,자쿰의 포이즈닉 투핸드소드,107,10,15,20,26,33,,
두손도끼,자쿰의 포이즈닉 투핸드엑스,109,10,15,20,27,34,,
두손둔기,자쿰의 포이즈닉 빅해머,109,10,15,20,27,34,,
창,자쿰의 포이즈닉 스피어,109,10,15,20,27,34,,
한손둔기,자쿰의 포이즈닉 해머,105,10,14,20,26,33,,
한손검,자쿰의 포이즈닉 소드,105,10,14,20,26,33,,
한손도끼,자쿰의 포이즈닉 엑스,105,10,14,20,26,33,,
석궁,자쿰의 포이즈닉 크로스보우,105,10,14,20,26,33,,
케인,자쿰의 포이즈닉 케인,105,10,14,20,26,33,,
부채,자쿰의 독선,102,10,14,19,25,32,,
듀얼보우건,자쿰의 포이즈닉 듀얼보우건,102,10,14,19,25,32,,
활,자쿰의 포이즈닉 보우,102,10,14,19,25,32,,
단검,자쿰의 포이즈닉 대거,102,10,14,19,25,32,,
에인션트보우,자쿰의 포이즈닉 에인션트 보우,102,10,14,19,25,32,,
체인,자쿰의 포이즈닉 체인,102,10,14,19,25,32,,
폴암,자쿰의 포이즈닉 폴암,109,10,15,20,27,34,,
너클,자쿰의 포이즈닉 너클,80,8,11,15,20,25,,
소울슈터,자쿰의 포이즈닉 소울슈터,80,8,11,15,20,25,,
에너지소드,자쿰의 포이즈닉 에너지소드,80,8,11,15,20,25,,
건틀렛리볼버,자쿰의 포워르,80,8,11,15,20,25,,
건,자쿰의 포이즈닉 건,80,8,11,15,20,25,,
아대,자쿰의 포이즈닉 가즈,52,5,7,10,13,16,,
튜너,자쿰의 포이즈닉 리가드,107,10,15,20,26,33,,
브레스슈터,자쿰의 포이즈닉 브레스 슈터,105,10,14,20,26,33,,
차크람,자쿰의 포이즈닉 제하르,102,10,14,19,25,32,,
